feature,importance
dropout_rate_3yr_avg,0.30569155985717916
overage_enrollment_share,0.10431704487906579
municipal_dropout_rate_lag1,0.07471281944111755
state_dropout_rate_lag1,0.0639205507781648
dropout_rate_lag1,0.03813353464948798
teacher_count_basic_ed,0.03497866689461867
is_covid_year,0.029458259026974635
avg_class_size,0.02522518355751384
student_teacher_ratio,0.023884783098555795
enrollment_basic_ed,0.022264455452726567
has_electricity,0.02217957721869589
has_internet,0.021658972738997032
admin_dependency_type_4,0.02156242650820557
approval_rate_lag1,0.01958598177145507
failure_rate_lag1,0.019377498109909047
eja_enrollment_share,0.01821377707407358
is_public,0.01808067806618847
dropout_rate_lag2,0.01802921856179443
enrollment_level,0.01747533588055769
state_code_BA,0.012578672028370057
dropout_rate_trend,0.011723543864257864
has_history,0.010314575667408364
state_code_PE,0.007878031647169815
state_code_PA,0.007373619389289992
state_code_PB,0.005713894753014121
state_code_RO,0.005450640335539294
state_code_MG,0.0038065243819606575
state_code_AM,0.0034892930989036124
sewage_absent,0.002845516834783618
admin_dependency_type_3,0.00282798513474697
has_sports_court,0.002768818336842738
admin_dependency_type_2,0.00263249538176696
electricity_absent,0.002222209239213765
has_water,0.0021727027002372283
state_code_RJ,0.0021160549371282414
state_code_RN,0.0019973480000983535
state_code_MA,0.0017394384399178303
state_code_SP,0.0015333353030886699
has_library,0.0015178837356675107
has_sewage,0.0010818268188100644
has_internet_for_students,0.0009400624334907403
state_code_AL,0.0009008545128689392
state_code_RS,0.0007972091551721555
has_computer_lab,0.0007189920396820848
state_code_AC,0.0005229530436010922
state_code_SE,0.0005146785484157335
state_code_CE,0.0005124440525064057
location_type_1,0.0004698022167673936
state_code_PI,0.000450432040711577
location_type_2,0.00036491360260114966
is_rural,0.00028924543390125416
state_code_GO,0.00027883753324431414
state_code_PR,0.00021835572328035197
state_code_RR,0.0002140817397841717
state_code_SC,6.443616704226127e-05
state_code_AP,5.342213865729864e-05
state_code_MS,4.614116465375982e-05
admin_dependency_type_1,3.740040257179084e-05
state_code_ES,2.424879094205692e-05
state_code_MT,1.8858297876343344e-05
state_code_TO,1.7231458674345573e-05
state_code_DF,1.0665910057589744e-05
