feature,importance
dropout_rate_3yr_avg,0.4182080436671908
state_dropout_rate_lag1,0.06900282482544823
overage_enrollment_share,0.06807332918799178
dropout_rate_lag1,0.0547524416201003
approval_rate_lag1,0.028090654686138243
failure_rate_lag1,0.027452067293282124
is_covid_year,0.021979066077537246
student_teacher_ratio,0.018011468183550074
is_public,0.017760858379799238
dropout_rate_lag2,0.017206677124302846
state_code_SP,0.017020196780655018
enrollment_basic_ed,0.016454536747847213
has_internet_for_students,0.016055593764432493
admin_dependency_type_4,0.015865930260247695
avg_class_size,0.015394371625414828
teacher_count_basic_ed,0.015289249717101137
municipal_dropout_rate_lag1,0.014900681846357467
state_code_PA,0.012795472218678225
enrollment_level,0.012362600680920124
eja_enrollment_share,0.011330608633480923
admin_dependency_type_2,0.010231515641231266
state_code_RS,0.009491260178844895
state_code_BA,0.009291413454525872
state_code_MG,0.00828842055934575
dropout_rate_trend,0.007779275414785062
state_code_PE,0.007448901351586487
state_code_RJ,0.006028620189231355
state_code_RN,0.005969301527396248
state_code_GO,0.0052273593495816995
has_history,0.00398070909916666
has_water,0.003833934258332734
state_code_MA,0.003522739179787416
state_code_PR,0.0029811784409792172
has_internet,0.0029721957769728545
state_code_PI,0.002325481016674652
state_code_CE,0.002219640770304777
has_computer_lab,0.002183471182076308
state_code_SC,0.0019114966961441579
admin_dependency_type_3,0.001820082125092143
admin_dependency_type_1,0.0018124884277575064
has_library,0.0018013361207727416
state_code_ES,0.0017187742722000728
electricity_absent,0.0015962663504564586
has_sports_court,0.0015863645067435517
has_sewage,0.0010970838356901046
state_code_PB,0.00077911912695567
location_type_1,0.0006035473781933964
sewage_absent,0.0005499317698961574
state_code_AM,0.0004444509658753074
state_code_AL,0.000441214757728247
is_rural,0.0003902939759618966
location_type_2,0.00038552890594988634
state_code_MT,0.0003825885707376753
state_code_AC,0.00021767012364839306
state_code_RR,0.00014769736062633898
state_code_AP,0.00013823270461923732
state_code_TO,0.00012753496964665418
has_electricity,0.00010487394350434466
state_code_MS,6.33493213906761e-05
state_code_DF,4.230548484980681e-05
state_code_RO,3.374546456430025e-05
state_code_SE,2.193212969595717e-05
